iteration,loss_gen_a_identity,loss_gen_b_identity,loss_gen_a_translate,loss_gen_b_translate,loss_gen_adv_a,loss_gen_adv_b,loss_gen_a_content,loss_gen_b_content,loss_gen_a_identity_content,loss_gen_b_identity_content,loss_gen_aba_noise,loss_gen_a_identity_noise,loss_dis_a,loss_dis_b,loss_gen_diversity
0,"tensor(0.3593, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4230, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3575, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4554, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(1.1226, device='cuda:1', grad_fn=<DivBackward0>)","tensor(1.3300, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4808, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.5084, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4693, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.5092, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0752, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0698, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(1.2533, device='cuda:1', grad_fn=<DivBackward0>)","tensor(1.4887, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0310, device='cuda:1', grad_fn=<MeanBackward0>)"
100,"tensor(0.0409, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0498, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0480, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0515, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4885, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3538, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0845, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0702, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0677, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0607, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0079, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0047, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3781, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4502, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4747, device='cuda:1', grad_fn=<MeanBackward0>)"
200,"tensor(0.0255, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0350, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0335, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0346, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4509, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3691, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0729, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0616, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0529, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0601, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0085, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0046, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3419, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4008, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5263, device='cuda:1', grad_fn=<MeanBackward0>)"
300,"tensor(0.0346, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0310, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0367, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0256, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4900, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4329, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0755, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0482, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0636, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0590, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0057, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0045, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3553, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4409, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2692, device='cuda:1', grad_fn=<MeanBackward0>)"
400,"tensor(0.0204, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0265, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0216, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0233, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.5452, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3466, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0629, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0580, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0576, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0616, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0031, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0024, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2633, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3712, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3849, device='cuda:1', grad_fn=<MeanBackward0>)"
500,"tensor(0.0211, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0234, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0193, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0189, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4812, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2122, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0548, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0518, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0481, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0658, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0023, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0016, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2820, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2620, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3919, device='cuda:1', grad_fn=<MeanBackward0>)"
600,"tensor(0.0162, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0243, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0175, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0201, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.4016, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3781, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0626, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0511, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0496, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0580, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0027, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0015, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3003, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3807, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6279, device='cuda:1', grad_fn=<MeanBackward0>)"
700,"tensor(0.0161, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0209, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0161, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0209, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3021, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4612, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0515, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0542, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0487, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0528, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0029, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0030, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.2473, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2910, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.6915, device='cuda:1', grad_fn=<MeanBackward0>)"
800,"tensor(0.0295, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0219, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0294, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0207, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.5713, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.5276, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0717, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0626, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0616, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0622, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0038, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0036, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3952, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4134, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.4551, device='cuda:1', grad_fn=<MeanBackward0>)"
900,"tensor(0.0171, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0183, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0176, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0182, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.5109, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.2415, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.0677, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0566, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0604, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0564, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0025, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.0022, device='cuda:1', grad_fn=<MeanBackward0>)","tensor(0.3062, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3048, device='cuda:1', grad_fn=<DivBackward0>)","tensor(0.3797, device='cuda:1', grad_fn=<MeanBackward0>)"
